ci;nombre;apellido;estado;sexo;garantia
1;PEDRO;LARROSA;CASADO;M;ANDA
2;SOFIA;ACOSTA;CASADO;F;ANDA
3;IRENE;PE„A;CASADO;F;CONTADURIA
4;JUAN;PERALTA;CASADO;M;ANDA
5;ANTONIO;GUTIERREZ;SOLTERO;M;CONTADURIA
6;ELBA;SANTORO;CASADO;F;ANDA
7;ROSALIA;VEGA;SOLTERO;F;ANDA
8;ERNESTO;PERDONO;CASADO;M;CONTADURIA
9;HECTOR;PAEZ;SOLTERO;M;CONTADURIA
10;MARTIN;VAZQUEZ;CASADO;M;ANDA
11;ELBA;LARROSA;CASADO;F;ANDA
12;ROSALIA;ACOSTA;SOLTERO;F;ANDA
13;ERNESTO;PE„A;CASADO;M;CONTADURIA
14;HECTOR;PERALTA;SOLTERO;M;CONTADURIA
15;MARTIN;GUTIERREZ;CASADO;M;ANDA
