ci;nombre;apellido;estado;sexo
1;JUAN;PEREZ;CASADO;M
2;MARIA;LOPEZ;CASADO;F
3;ESTELA;FUENTES;CASADO;F
4;PEDRO;ROSAS;CASADO;M
5;RODOLFO;PEREIRA;SOLTERO;M
6;MERCEDES;CASTA„EDA;CASADO;F
7;MARIO;POSADAS;SOLTERO;F
8;JORGE;RODRIGUEZ;CASADO;M
9;SO„A;PARODI;SOLTERO;F
10;DARIO;SOSA;CASADO;F
11;ANA;COSTELA;CASADO;M
12;SOFIA;MARTINEZ;SOLTERO;F
13;PABLO;GARCIA;CASADO;F
14;LUIS;VILLA;CASADO;M
15;LEONARDO;GONZALEZ;SOLTERO;M
17;ESTEVAN;GUTIERREZ;CASADO;F
18;RODOLFO;SOSA;SOLTERO;F
19;GLORIA;BATISTA;CASADO;M
20;PAOLA;CARBAJAL;SOLTERO;M
21;PABLO;COSTA;CASADO;M
